data,orario,ora,min,sec,PV3_RTD_0_SUD,PV3_RTD_1_EST,PV3_RTD_2_centro,PV3_RTD_3,PV3_max_RTD,PV4_RTD_0,PV4_RTD_1,PV4_RTD_2,PV4_RTD_3,PV4_max_RTD,PV5_RTD_0,PV5_RTD_1,PV5_RTD_2,PV5_RTD_3,PV6_RTD_0,PV6_RTD_1,PV6_RTD_2,PV6_RTD_3,PV6_max_RTD,PV1_RTD_0_SUD,PV1_RTD_1_EST,PV1_RTD_2_centro,PV1_RTD_3,PV2_RTD_0_SUD,PV_RTD_1_EST,PV2_RTD_2_centro,PV2_RTD_3,PV2_max_RTD,ET,after_Sav_data
04/08/2023,00:01:01,0.000000,1.000000,1.000000,22.143418,22.268628,22.146568,1254.963860,1254.963860,-242.027870,23.262331,23.333244,23.860708,23.860708,24.558605,-242.027870,24.018332,26.014721,24.265145,23.628002,24.602149,23.763277,24.602149,22.681559,22.329860,22.261243,1255.530602,22.159077,22.102984,22.039615,1255.375790,1255.375790,4.328315,0.001000
04/08/2023,00:01:05,0.000000,1.000000,5.000000,22.140197,22.264947,22.144114,1254.963860,1254.963860,1255.184393,23.258341,23.330635,23.864085,1255.184393,24.556149,-242.027870,24.013420,26.015489,24.263151,23.622785,24.604298,23.756061,24.604298,22.679104,22.327865,22.260476,1255.530602,22.157083,22.099916,22.037007,1255.375790,1255.375790,4.343309,0.001000
04/08/2023,00:01:09,0.000000,1.000000,9.000000,22.136824,22.256972,22.138900,-242.027870,22.256972,-242.027870,23.251743,23.326951,23.864239,23.864239,24.553078,-242.027870,24.007434,26.015182,24.261002,23.617722,24.607982,23.750534,24.607982,22.678184,22.326024,22.261550,1255.530602,22.156010,22.095008,22.032252,-242.027870,22.156010,4.313326,0.000000
04/08/2023,00:01:14,0.000000,1.000000,14.000000,22.130689,22.249149,22.134146,1254.963860,1254.963860,1255.184393,23.244071,23.322961,23.860862,1255.184393,24.546630,-242.027870,23.999760,26.018100,24.257320,23.606061,24.611205,23.745314,24.611205,22.675576,22.325257,22.263698,1255.530602,22.156010,22.090407,22.026423,-242.027870,22.156010,4.344412,0.000998
04/08/2023,00:01:18,0.000000,1.000000,18.000000,22.125322,22.242861,22.128165,-242.027870,22.242861,1255.184393,23.233330,23.318817,23.855336,1255.184393,24.541410,-242.027870,23.997611,26.021171,24.255632,23.593480,24.610898,23.740248,24.610898,22.674655,22.323262,22.263237,1255.530602,22.151715,22.087186,22.020901,1255.375790,1255.375790,4.344307,0.000000
04/08/2023,00:01:22,0.000000,1.000000,22.000000,22.120415,22.238873,22.122643,1254.963860,1254.963860,1255.184393,23.223356,23.315441,23.850271,1255.184393,24.537265,-242.027870,23.995155,26.025778,24.251949,23.585808,24.610284,23.741476,24.610284,22.674655,22.319273,22.260016,1255.530602,22.148647,22.085498,22.016607,1255.375790,1255.375790,4.309330,0.000000
04/08/2023,00:01:27,0.000000,1.000000,27.000000,22.114894,22.235499,22.117736,-242.027870,22.235499,1255.184393,23.217679,23.311911,23.845819,1255.184393,24.532199,-242.027870,23.995616,26.032843,24.250722,23.585041,24.610437,23.731957,24.610437,22.672507,22.318352,22.261397,-242.027870,22.142665,22.084271,22.012005,1255.375790,1255.375790,4.357321,0.000999
04/08/2023,00:01:31,0.000000,1.000000,31.000000,22.106919,22.233352,22.111755,-242.027870,22.233352,1255.184393,23.211234,23.309762,23.844745,1255.184393,24.526672,-242.027870,23.996230,26.039293,24.250722,23.586422,24.612740,23.721211,24.612740,22.671894,22.315744,22.260476,1255.530602,22.137910,22.080744,22.007250,-242.027870,22.137910,4.389279,0.001000
04/08/2023,00:01:35,0.000000,1.000000,35.000000,22.098792,22.228751,22.107614,-242.027870,22.228751,1255.184393,23.203102,23.304083,23.842749,1255.184393,24.519916,-242.027870,23.992546,26.040060,24.249494,23.586729,24.616730,23.714609,24.616730,22.670360,22.313749,22.262777,1255.530602,22.129934,22.077369,22.002342,1255.375790,1255.375790,4.313324,0.001001
04/08/2023,00:01:40,0.000000,1.000000,40.000000,22.090511,22.225837,22.101326,1254.963860,1254.963860,1255.184393,23.191901,23.299939,23.838605,1255.184393,24.514389,-242.027870,23.987634,26.044360,24.249341,23.577983,24.622102,23.704783,24.622102,22.668212,22.311141,22.260169,-242.027870,22.123339,22.074302,21.995899,1255.375790,1255.375790,4.324319,0.001000
04/08/2023,00:01:44,0.000000,1.000000,44.000000,22.082996,22.220008,22.095805,1254.963860,1254.963860,1255.184393,23.182694,23.295949,23.836456,1255.184393,24.508248,-242.027870,23.982569,26.045743,24.245351,23.567090,24.625479,23.698949,24.625479,22.665450,22.308226,22.256641,-242.027870,22.116897,22.067093,21.990991,-242.027870,22.116897,4.511205,0.000999
04/08/2023,00:01:48,0.000000,1.000000,48.000000,22.076709,22.210806,22.089517,-242.027870,22.210806,-242.027870,23.174562,23.292880,23.829395,23.829395,24.501493,-242.027870,23.980421,26.049121,24.244123,23.557270,24.627014,23.693883,24.627014,22.662996,22.304236,22.251425,-242.027870,22.112295,22.062338,21.983475,-242.027870,22.112295,4.307331,0.000998
04/08/2023,00:01:53,0.000000,1.000000,53.000000,22.067048,22.203751,22.083076,-242.027870,22.203751,1255.184393,23.166737,23.289503,23.824483,1255.184393,24.494892,-242.027870,23.979039,26.050350,24.241975,23.550520,24.625325,23.691734,24.625325,22.659774,22.302088,22.243295,1255.530602,22.104472,22.057890,21.978720,1255.375790,1255.375790,4.341309,0.000998
04/08/2023,00:01:57,0.000000,1.000000,57.000000,22.058920,22.197002,22.076788,-242.027870,22.197002,1255.184393,23.156149,23.283671,23.820492,1255.184393,24.491514,-242.027870,23.976430,26.051118,24.240287,23.544383,24.623637,23.688970,24.623637,22.657319,22.299173,22.236392,-242.027870,22.096803,22.051295,21.971665,1255.375790,1255.375790,4.371557,0.000999
04/08/2023,00:02:02,0.000000,2.000000,2.000000,22.050179,22.193782,22.070500,1254.963860,1254.963860,1255.184393,23.150165,23.279527,23.817269,1255.184393,24.488904,-242.027870,23.973360,26.055571,24.237832,23.557731,24.621488,23.686975,24.621488,22.653484,22.294417,22.228568,1255.530602,22.087907,22.046080,21.965529,-242.027870,22.087907,4.418262,0.001000
04/08/2023,00:02:06,0.000000,2.000000,6.000000,22.043125,22.190101,22.064366,1254.963860,1254.963860,1255.184393,23.150779,23.274462,23.814966,1255.184393,24.485527,-242.027870,23.972132,26.060793,24.234457,23.559725,24.621795,23.692041,24.621795,22.651796,22.292575,22.220591,1255.530602,22.080851,22.039638,21.959701,1255.375790,1255.375790,4.299334,0.001000
